"path","type","side","management","sha1","sha512","project_id","version_id","metadata_file","note"
"mods/betterarcheology-fabric-1.21.1-1.3.4.jar","mod","both","modrinth","c2fb71a97a0a10880d00728a897d0462a5d3109a","ab303cd59745fc7d3123671a767cefb431778d7ccd189d6aae3aeb4af54b34ca707732496b0863d5e6ac2173a6dccad5b6afab2b554df3fc0f43f474b893232a","zCh7omyG","NmGdvCxA","mods/betterarcheology.pw.toml",""
"mods/better-compatability-checker-fabric-21.1.8.jar","mod","both","modrinth","0b71c071b83c613ba83a7f452db008385131a0c7","ede94f47ae3d8f9a4a9787f9e76a3a5e9fbd763a3fbd4982d88daa2361728ce6fd3e8d29c0281f2d8c25357aeb4b3d53274fb0f63cde46bcdae33732c625665a","KJhXPbHQ","1uy9t7Jt","mods/bcc.pw.toml",""
"mods/betterdays-1.21.1-3.3.6.2-FABRIC.jar","mod","both","modrinth","a99902b26185896def8a227e3a50266061c2a987","c1e7c779f84eea50aef387451a0c1a95ce41eb45845406f9605334aae2bd1b4d1d31e4e53de5a752d88a719e4f17121d6c774e2c082c9059d889e8fa69d3b0e1","tPLE214j","xlclI4Mf","mods/betterdays.pw.toml",""
"mods/BetterF3-11.0.3-Fabric-1.21.1.jar","mod","client","modrinth","22442f5594bd537ab603cb36fba70363ebb7992a","c90c9ed5e2860c99d8e42f374b1c34eb50257afed81c3c98a86e594ee7ed4d093c7d3a1dc1b53edb6357394b2e3c8112fa8746b206b6f94d4c9378628a8e20af","8shC1gFX","phATjGhF","mods/betterf3.pw.toml",""
"mods/bettermounthud-1.2.4.jar","mod","client","modrinth","4df822bd5bd7d2e125eb9c7fdb38bb4b6ee0476e","b7cc352f97392ee3eed340d8ee148d9c9d5bef4397767085c7499adf4c656585bf4f5841e1057e44de9b2b70d577cbee7a411c0d8cd8059cd4edb4f7c4bfa51a","kqJFAPU9","yyJushgo","mods/bettermounthud.pw.toml",""
"mods/bettersafebed-fabric-1.21-16.jar","mod","both","modrinth","76effc3e10d01a3b93040730cccd63dc8f5171d1","2a46ae9fa3f576387b64d6e855c923ef55c73001fe49be7e3d565244291bd43395afce6f833b595291f49f5e92a207c8621de2a30f86edc1556e76941dfff627","aUp4r9hY","RziAjZcg","mods/bettersafebed.pw.toml",""
"mods/betterstats-3.13.9+fabric-1.21.jar","mod","both","modrinth","9efb20a491a2e3b801ce8dbe5488356e08d2b1fc","30b4088c73181077358ec8f5ea0da6021711e408c9022df8c163171f52d48d3dff125886ead03929cd553f9d18aa8da16cb599e26da3e6ff1fb2e6828ddbff62","n6PXGAoM","YDvjPyKn","mods/betterstats.pw.toml",""
"mods/BetterThirdPerson-Fabric-1.21-1.9.0.jar","mod","client","modrinth","ea0dd2747e5d52d1b64dd29498e59602e79d9b69","6aa3dcc8602a19fed96c6167a0039e645fffa3e64d78f083ea6af1baf2a188eed72525f45237eeefd70e2623188e1cfd02564266d6b6f0770486543615c54544","G1s2WpNo","QZTn8cTa","mods/betterthirdperson.pw.toml",""
"mods/bookshelf-fabric-1.21.1-21.1.80.jar","mod","both","modrinth","07727159f65653fadae71c93123b249caee81596","d1fdae5a6f1c772efb1fd12764d7711c4cc34d3045da1af7412cad1168c8a514843cb8d89ce5f8056b095e5074e508a32627502d97b6cc2b569434d7160b13d6","uy4Cnpcm","eRd8PTb9","mods/bookshelf.pw.toml",""
"mods/burninthesun-fabric-1.21.1-1.10.1.jar","mod","both","modrinth","0cb006cf283beee89faea1edddd4d7a33850fd91","69ecb4d91e6b8ff3ea7f775f63a92cc162fe7f866616712251a0f77e09322099d547dfecb5e7c7a4e1af32dc070193cf982347b55d31a83b0db818103f432d4d","V1dXZIGY","4RLXmcFj","mods/burninthesun.pw.toml",""
"mods/c2me-fabric-mc1.21.1-0.3.0+alpha.0.362.jar","mod","both","modrinth","9beac89c94f36a342cb07cd9fcb42608bdd07771","8653a751eb2ad1ad70da38017ccad0ee2bda5448ffe405d28049f09a61936765303f63ba4fcff798f32bb1e6b4645e892c275515b69c98c1730e24caab0ba7e0","VSNURh3q","DSqOVCaF","mods/c2me.pw.toml",""
"mods/CameraOverhaul-v2.0.6-fabric+mc[1.21.0-1.21.2].jar","mod","client","modrinth","8098d60dbaf790de2967699aca7df98edfa8e016","379b25f2bcda31f5f5897596c081b599472d3f5a1b76fc3f418a1986d5291c1e212c2bfa3ca7dd10c31f8776341d4e13c95cd6ac6572b6cc5cb1bb0937e3bc78","m0oRwcZx","9Lrvwa1B","mods/cameraoverhaul.pw.toml",""
"mods/cardinal-components-api-6.1.3.jar","mod","both","modrinth","e762f5205c0fd0f9bed1c04432bf9b51ec832882","db52fc8c4f14dda723b69eec5a52a693fcb1db72e97114cb530ac8a306d95c13a4234ea54bc6e632134038cb05ba551b5240b9187562fb775a4c7bacb681eff1","K01OU20C","nLsCe2VD","mods/cardinal-components.pw.toml",""
"mods/carryonextend-architectury-fabric-1.5.1.jar","mod","both","modrinth","3de86094689f3788bf9a2054c22d4954a9dde74f","87947562c4dcacdf6b034eac5ac0cd81a642ca8eca1d60c0c0bf534d2eff90ce875a5bf1c3adb27f42391dfcd91c9fc0c8ed49f315cbe0f7bcf84ffb83248bad","JbqjOoQj","zmZGgskS","mods/carryonextend.pw.toml",""
"mods/carryon-fabric-1.21.1-2.2.6.13.jar","mod","both","modrinth","db8b128f68588fca639310e1ad84ce61c3d2ae53","5d415137d9f1dd7fffc35c37493a81d9256c59f665068c1eebc38e9fea57a694133087dd652b4b8d17a88dabdc46ba9f19df43e17e55e6be6eed11dd600dc6f3","joEfVgkn","iDV62vEU","mods/carryon.pw.toml",""
"mods/carryon-slowness-fix-1.0.0+1.21.1.jar","mod","both","internal-hosted","5fe358e4b5bbf7a45d6c578171b89b940022c92e","f99765ae8e65e28c1d7ddbcaf2d8b15c618cbde8ab01eb182d6be38b4d5feac37d8b3d2638deccf7e5a8b05be87226b99fc0b0e07ef09a0038102de698f42cad","","","","Explicitly approved by metadata/hosted-files.json"
"mods/cave_dust-3.0.1.jar","mod","client","modrinth","a9f2b1af1dc26b23c1f07a067b58781280e3274d","a2715a25a756b5e277955f3dd47b57541c9c3095127463a6ef3a263172eb6018563d3d1eb09ab3e1520e004b58ae1b78890e09fc8b318d3e4e296021b3e38409","jawg7zT1","8zG4dQ2R","mods/cavedust.pw.toml",""
"mods/chatanimation-fabric-1.21.1-1.1.3.jar","mod","client","modrinth","d507430a096fff29dabe028f74a55c6081c9912f","f7b1e3779cb0f4fb8968797d08800d3f0610d39249836e6c6987b4d50f2c3cd4b414bf2bd3d2293a379f8770d12ec7fc765102d59aadbf53a95219935876df11","DnNYdJsx","mezhyzfP","mods/chatanimation.pw.toml",""
"mods/cherishedworlds-fabric-10.1.1+1.21.1.jar","mod","client","modrinth","c4a0e044b2f34ed2f0ae5e64c22cc46ff4f10c4a","8b44e4d5a282c6d06e5f9b7780bc19f0b0ae1161087fabc19fcd966e7b71cc82db7a4c62d67192a43ac844092fd9145bb5a99cd1daa5b762b923fca05dbc62a8","3azQ6p0W","nPgbZ9q1","mods/cherishedworlds.pw.toml",""
"mods/chisel-fabric-2.0.0+mc1.21.1.jar","mod","both","modrinth","bf56597ff216f3658c63e0eb07a620f96595e616","354be16db7b0e4c17b585f4610574e411a3db974b15fa83d82c52a72b88008b164ece17a899f0c1ff128c4875747fde548cfa073f82bf36d3ec812e543223e55","4KWv7wbN","QBqeHY1t","mods/chisel.pw.toml",""
"mods/cloth-config-15.0.140-fabric.jar","mod","both","modrinth","5d82342a2df53fd6df712bfdd583a811572918a4","1b3f5db4fc1d481704053db9837d530919374bf7518d7cede607360f0348c04fc6347a3a72ccfef355559e1f4aef0b650cd58e5ee79c73b12ff0fc2746797a00","9s6osm5g","HpMb5wGb","mods/cloth-config.pw.toml",""
"mods/cloth-gamerules-1.1.2+1.19.4.jar","mod","both","modrinth","4b06e444366d540932ed71cc047a05181dc63065","21252c5353d5b3acfa1d22a9c859534a8162d84910adf8952a5bdbfeabea8401a39102f08e7b4ea59ad0e562d6e8892f9f1e6661693a9cf89ad75982c4a6a8da","f8QTxwTe","k3Ki8yUk","mods/cloth-gamerules.pw.toml",""
"mods/cobweb-fabric-1.21-1.4.0.jar","mod","both","modrinth","d744244463b0bc0dc53137da28a89fea7474f82c","05007533a5d67284fd039b6a5e577e0eb2bd48b797d067e1f944142a2d69c75fd294ed5ba55b71a97bd1503da1205a1430430fdeb64032d9bd8998a011df4781","dQcfqGbl","RDHSnisj","mods/cobweb.pw.toml",""
"mods/collective-1.21.1-8.13.jar","mod","both","modrinth","a31359f980453a838a7e854d86f485314fda91ad","20ade6d666440659d38ec43202624993f47681a844c7f9e3e66a462e9f88f5d98bdd9a0a26278b1ed94bd4836b3c9cdbcfef73ad8515555f239e84bfea45d938","e0M1UDsY","VTg6femX","mods/collective.pw.toml",""
